"AGENCIAS","Mora.Media","CAR.Media","Mora.8.30.Media","Judicial.Media","Cartera.Pesada.Promedio","Tasa.de.rentabilidad.Bruta","Ingreso.Promedio","Margen.Financiero.Mes.M","Intereses.de.Credito.Jun.17","Utilidad.Mes.M","Clientes","Cuentas","Desembolsos","Saldo","Meses.en.Funcion"
"Agencia_56",0.0345905713355748,0.0348787456724706,0.023033972504627,0.0172012329032864,0.0251826600572788,2.06393665704551,151067.653152941,632656.9149,1006191.48,55759.5759,915,1000,1130500,9380523.72,18.0041067761807
"Agencia_57",0.0416423420676467,0.0609622455578138,0.0326371267428996,0.0278239010173648,0.0541170503466976,1.99024887750933,425852.912964706,1853798.9494,2727364.47,391901.392,2590,3200,1686067.9,24091151.71,102.373716632444
"Agencia_58",0.0402158118812781,0.0430653299923309,0.0124590570752889,0.0330481855843018,0.0411814111004292,1.84519101940233,229679.306976471,1066967.3246,1499923.09,191840.9594,774,843,1437300,12366519.66,99.3511293634497
"Agencia_59",0.0312880561038824,0.03672427868027,0.0211084347782062,0.0197179708257943,0.041539868700285,2.15765731490078,206724.595405882,863476.2276,1386254.38,82417.4631,1723,1939,1037950,12009400.02,13.1088295687885
"Agencia_60",0.0444649160683692,0.0454145208069777,0.0277478773408226,0.0304634258043462,0.0694370366123479,0.985665551685016,278448.568817647,1188234.3181,1863866.69,194659.8433,2175,2355,1251200,14538216.48,138.677618069815
"Agencia_61",0.035337105454544,0.0395584152102645,0.0233765906696869,0.0200340689858705,0.0456607372689229,1.98307072646651,296551.851323529,1108995.3475,1887373.39,159224.5626,1300,1404,1486280,17483563.73,0
"Agencia_62",0.0410100820961152,0.0436107167476062,0.02242230613956,0.0282745608217853,0.0544842616242723,1.76477947080153,801061.608682353,3599992.9111,4711859.1,808559.7216,4936,5668,4155259.47,47124562.46,80.952772073922
"Agencia_63",0.0237437499209343,0.0289772271344646,0.0222595840918047,0.013411545702557,0.0383673984494439,1.79733624944904,379342.821541176,1722547.0438,2557445.88,339965.5156,3105,3593,2402338.48,25205795,346.710472279261
"Agencia_64",0.0335438640806694,0.0374798548681119,0.0238970535240833,0.0231139127570167,0.0484992183595099,1.96065378204875,437637.132470588,1997724.9993,3031027.19,374235.1818,2169,2310,2395000,24266840.37,21.4537987679671
"Agencia_65",0.0155781201903072,0.0312225495281151,0.0205299174506886,0.0244817999270451,0.0513312839697244,1.9479707353388,34313.905,310215.8084,442629.61,-117265.7099,733,786,468270,4259224.65,2.82546201232033
"Agencia_66",0.0379637055083587,0.0491923275686286,0.0536216377174921,0.016917342652635,0.0591518461327991,1.85975824819606,427131.7865,1800221.8984,2620780.86,385503.9682,2527,2744,2059260,22793576.67,2.62833675564682
"Agencia_67",0.0411476798492045,0.043797508721777,0.0291364647322179,0.0261300667234004,0.0646510784371276,1.79888510688915,382349.590594118,1197646.257,2573970.72,162484.5435,2612,2892,2692974,25843159.78,83.4496919917865
"Agencia_68",0.0418501093645298,0.0451103297521454,0.0244217684198026,0.0274047811006631,0.0569025337516895,1.89668584486969,555730.0213,2498100.6556,3661658.34,489498.4763,4226,4697,2994676.75,33024554.2,79.7700205338809
"Agencia_69",0.0455471989636358,0.0531688999745969,0.0219868551176811,0.0281655501271395,0.0664444883039548,1.86716877444628,393966.660164706,1713418.8654,2521917.35,296182.5569,2432,2883,2352550,23602229.32,69.9137577002053
"Agencia_70",0.0407282337138974,0.0467296379441118,0.0367481369976202,0.0245220822285551,0.0776235926581348,1.87839690344242,321933.341476471,1296951.633,2059662.48,240608.0628,2074,2379,1736655,20048573.98,90.2833675564682
"Agencia_71",0.0281063838904402,0.0301189673279139,0.0146606710236664,0.019735723945138,0.0487646682012408,1.88357777442597,257019.611888235,1046807.1425,1885312.97,127513.8566,1962,2103,1385350,17592867.78,83.9096509240246
"Agencia_72",0.0387732516979865,0.0400254253745435,0.0279191858751574,0.0266755289578644,0.0695372195593559,1.76173003512475,632127.283594118,2798213.8548,4113185.78,610276.9632,4277,4857,3418430,40858539.47,165.453798767967
"Agencia_73",0.0307057418662188,0.0339405206212953,0.0207550264637577,0.0218191538725621,0.0427009522934269,1.84088820459659,785641.472335294,3313434.2052,4933566.72,710984.191,5945,6603,5448640,49436289.98,56.1806981519507
"Agencia_74",0.0395341554436234,0.0594031732369596,0.0422588288939003,0.0213459138037472,0.0755413560997336,1.87315061511667,696158.452576471,2237808.3496,4179493.55,433635.9564,3800,4371,3239884,38134794.75,85.9137577002053
"Agencia_75",0.0445765695756425,0.0459413449928795,0.0174927092539929,0.0377369995736941,0.0407108093116265,2.01101880882492,233485.633717647,1094931.0354,1582331.24,159341.7412,1795,1924,1340780,13594798.27,67.5154004106776
"Agencia_76",0.0221404232232696,0.0397550470474116,0.0247927933679794,0.0113541290487559,0.0617040047514886,1.96195135723833,637774.758505882,2324723.7883,4996441.79,336288.6452,5843,6508,4996757.53,45420779.92,43.2361396303901
